longitude,latitude,YR,MO,X,Y,TOT
-73.92494321117745,40.82751180781079,2014,1,1005022,240771,1.0
-74.11635707454536,40.63713421489128,2014,1,951956,171423,1.0
-73.94002101776616,40.82034045613332,2014,6,1000851,238155,1.0
-73.94499507527051,40.80844731483132,2014,7,999477,233821,1.0
-73.98117926026248,40.695276531282744,2014,4,989469,192585,1.0
-73.89382622949599,40.650052801189155,2014,4,1013712,176126,1.0
-73.88186536044039,40.66023251952483,2014,4,1017026,179839,1.0
-74.0020782656625,40.730452172411546,2014,4,983674,205400,1.0
-73.96659803741778,40.791586504975896,2014,4,993499,227675,1.0
-74.008075972199,40.73906768949127,2014,4,982012,208539,1.0
-73.9821240494487,40.76265494425835,2014,4,989202,217133,7.0
-73.98748204369154,40.73820818491674,2014,4,987719,208226,1.0
-74.01225217906985,40.705776148583865,2014,4,980853,196410,1.0
-73.99256227837452,40.74323975421057,2014,4,986311,210059,1.0
-73.98475009686427,40.73950612328125,2014,7,988476,208699,1.0
-73.989543078549,40.757569846520035,2014,4,987147,215280,1.0
-73.93505630345766,40.85786069694205,2014,4,1002215,251826,1.0
-73.98926425175625,40.71830064920526,2014,4,987226,200973,3.0
-73.9748913150525,40.720653415348124,2014,4,991210,201831,1.0
-73.85778857501398,40.685602714240034,2014,4,1023691,189092,1.0
-73.84738148018322,40.72862185328282,2014,4,1026550,204770,1.0
-73.88700541651141,40.75154233226936,2014,4,1015557,213104,1.0
-73.89079351288314,40.73931537285825,2014,4,1014513,208648,1.0
-73.70569084116453,40.74095634513967,2014,4,1065806,209364,1.0
-73.89262465582628,40.74504539376884,2014,4,1014003,210735,1.0
-73.90891970492359,40.6625545044738,2014,7,1009519,180676,2.0
-73.89839028518577,40.767247394157174,2014,4,1012396,218822,1.0
-73.86205292866043,40.68790802618879,2014,4,1022507,189930,1.0
-73.89051004593514,40.69661209733263,2014,4,1014611,193090,1.0
-73.78532545032814,40.72920632706308,2014,4,1043749,205019,1.0
-73.85498008286993,40.88274262734925,2014,4,1024351,260918,1.0
-73.88443550903686,40.79114365652041,2014,5,1016250,227533,18.0
-73.85537039895297,40.88784549675207,2014,4,1024240,262777,1.0
-73.88553463040029,40.836622070189506,2014,4,1015924,244102,2.0
-73.88568255668534,40.834659746946386,2014,4,1015884,243387,1.0
-73.86065291969115,40.85228071134603,2014,4,1022800,249817,1.0
-73.9174139834465,40.68403330409087,2014,7,1007155,188499,1.0
-73.8948922356815,40.82206202623836,2014,4,1013341,238794,1.0
-73.89024975438119,40.8174904864531,2014,4,1014628,237130,1.0
-73.85727245328528,40.84587317431591,2014,4,1023739,247484,1.0
-73.85767726211455,40.87797021921259,2014,4,1023608,259178,1.0
-73.94735106194217,40.6933337104735,2014,4,998850,191881,1.0
-74.0117233792333,40.67268800062238,2014,5,980998,184355,1.0
-73.88485482621492,40.667717823451305,2014,4,1016193,182565,1.0
-73.99106702329462,40.59080847429435,2014,4,986731,154524,1.0
-73.92235758617414,40.702322402193936,2014,4,1005778,195161,1.0
-73.93582752314519,40.661768442021064,2014,4,1002054,180383,1.0
-73.9654346098734,40.77178289904802,2014,7,993824,220460,1.0
-73.95806209538551,40.68610564255987,2014,4,995881,189246,1.0
-73.9428553804033,40.63312757969334,2014,4,1000111,169947,1.0
-73.99429250652953,40.597991818419125,2014,4,985835,157141,1.0
-73.92027027974223,40.6593487935933,2014,4,1006371,179505,2.0
-73.88892910435624,40.65632000774366,2014,4,1015068,178411,1.0
-73.98876133529458,40.727089316775476,2014,4,987365,204175,1.0
-73.96168840307976,40.80085667161043,2014,4,994857,231053,1.0
-73.98707184442337,40.75076537021296,2014,4,987832,212801,1.0
-73.98689193620953,40.766303347413285,2014,4,987881,218462,1.0
-74.0012373010422,40.71551795621189,2014,5,983907,199959,1.0
-73.94114966404247,40.70028045914217,2014,7,1000568,194413,1.0
-73.9498207330168,40.79462158302116,2014,4,998144,228783,2.0
-74.00419337507151,40.74257294367087,2014,4,983088,209816,3.0
-73.92796484428881,40.85341830351892,2014,4,1004178,250209,1.0
-74.00088013741349,40.71235599443521,2014,5,984006,198807,1.0
-73.98214677528385,40.73174084202443,2014,5,989198,205870,1.0
-73.94919864994482,40.81472093424374,2014,4,998312,236106,3.0
-73.96752668402254,40.79793807419418,2014,4,993241,229989,1.0
-73.96501014448025,40.79630971381675,2014,4,993938,229396,1.0
-73.87124377281717,40.75344437227605,2014,4,1019923,213803,1.0
-73.84571101839802,40.69587731143852,2014,4,1027034,192841,1.0
-74.03809285418657,40.62058354471164,2014,7,973675,165374,1.0
-73.74139164630564,40.71955600621007,2014,4,1055936,201536,1.0
-73.8348242041327,40.69425650955647,2014,4,1030054,192256,1.0
-73.85921600855477,40.72678696276938,2014,4,1023271,204096,1.0
-73.78114992672819,40.709740807373116,2014,4,1044924,197930,2.0
-73.81248759052737,40.70968907366972,2014,4,1036236,197891,1.0
-73.87972572236566,40.74146172260213,2014,4,1017579,209434,1.0
-73.8327127714762,40.69786283592789,2014,4,1030637,193571,2.0
-73.86231394899268,40.683736281359316,2014,4,1022437,188410,1.0
-73.82670191521429,40.701671919790634,2014,4,1032301,194962,1.0
-73.74898171259812,40.72151610218267,2014,4,1053830,202244,1.0
-73.89285185125252,40.86183099535045,2014,7,1013888,253284,1.0
-73.82021299152206,40.69793456634358,2014,4,1034103,193604,1.0
-73.84637832699778,40.68015887939726,2014,4,1026859,187114,1.0
-73.8520879966768,40.68722866909635,2014,4,1025271,189687,1.0
-73.81037988109958,40.70504970430107,2014,4,1036824,196202,1.0
-73.79560557615368,40.70659168228517,2014,4,1040919,196773,1.0
-73.85248616324363,40.681646306628906,2014,4,1025164,187653,1.0
-73.71877621571139,40.727213050592724,2014,4,1062196,204345,1.0
-73.83947178291929,40.687077267217,2014,4,1028770,189638,1.0
-73.8613565897087,40.69504634322934,2014,4,1022696,192531,1.0
-73.85243070023864,40.716485607568956,2014,4,1025158,200346,1.0
-73.86488261430019,40.83425024967681,2014,7,1021640,243246,1.0
-73.93623950497764,40.77376312280492,2014,5,1001910,221186,1.0
-73.82744187444003,40.70840046245962,2014,4,1032091,197413,1.0
-73.87120067468388,40.75893382047555,2014,4,1019932,215803,1.0
-73.87970972025443,40.7583199622266,2014,4,1017575,215576,1.0
-73.74866887333692,40.71359126492007,2014,4,1053925,199357,1.0
-74.08101653635332,40.64162207999769,2014,4,961766,173047,1.0
-74.13854980220944,40.63264658626842,2014,4,945794,169797,1.0
